2025-10-30 16:36:29 | DEBUG    | no-corre | etl.database         | Validation rules will be created dynamically per table
2025-10-30 16:36:29 | DEBUG    | no-corre | etl.database         | Reading brands.csv with pandas optimization
2025-10-30 16:36:29 | INFO     | no-corre | etl.database         | Read brands.csv: (9, 2) shape, 0.00MB memory, 0 categorical columns
2025-10-30 16:36:29 | ERROR    | no-corre | etl.database         | Error reading CSV file brands.csv: 'BatchProcessor' object has no attribute 'data_validator'
2025-10-30 16:36:29 | DEBUG    | no-corre | etl.database         | Reading categories.csv with pandas optimization
2025-10-30 16:36:29 | INFO     | no-corre | etl.database         | Read categories.csv: (7, 2) shape, 0.00MB memory, 0 categorical columns
2025-10-30 16:36:29 | ERROR    | no-corre | etl.database         | Error reading CSV file categories.csv: 'BatchProcessor' object has no attribute 'data_validator'
2025-10-30 16:36:29 | DEBUG    | no-corre | etl.database         | Reading stores.csv with pandas optimization
2025-10-30 16:36:29 | INFO     | no-corre | etl.database         | Read stores.csv: (3, 7) shape, 0.00MB memory, 0 categorical columns
2025-10-30 16:36:29 | ERROR    | no-corre | etl.database         | Error reading CSV file stores.csv: 'BatchProcessor' object has no attribute 'data_validator'
2025-10-30 16:36:29 | DEBUG    | no-corre | etl.database         | Reading staffs.csv with pandas optimization
2025-10-30 16:36:29 | INFO     | no-corre | etl.database         | Read staffs.csv: (10, 8) shape, 0.00MB memory, 2 categorical columns
2025-10-30 16:36:29 | ERROR    | no-corre | etl.database         | Error reading CSV file staffs.csv: 'BatchProcessor' object has no attribute 'data_validator'
2025-10-30 16:36:29 | DEBUG    | no-corre | etl.database         | Reading products.csv with pandas optimization
2025-10-30 16:36:29 | INFO     | no-corre | etl.database         | Read products.csv: (321, 6) shape, 0.03MB memory, 0 categorical columns
2025-10-30 16:36:29 | ERROR    | no-corre | etl.database         | Error reading CSV file products.csv: 'BatchProcessor' object has no attribute 'data_validator'
2025-10-30 16:36:29 | DEBUG    | no-corre | etl.database         | Reading stocks.csv with pandas optimization
2025-10-30 16:36:29 | INFO     | no-corre | etl.database         | Read stocks.csv: (939, 3) shape, 0.00MB memory, 1 categorical columns
2025-10-30 16:36:29 | ERROR    | no-corre | etl.database         | Error reading CSV file stocks.csv: 'BatchProcessor' object has no attribute 'data_validator'
2025-10-30 16:36:29 | INFO     | no-corre | etl.database         | Database connections closed
2025-10-30 16:37:21 | DEBUG    | no-corre | etl.database         | Setting up standard validation rules for ETL data
2025-10-30 16:37:21 | DEBUG    | no-corre | etl.database         | Validation rules will be created dynamically per table
2025-10-30 16:37:21 | DEBUG    | no-corre | etl.database         | Reading brands.csv with pandas optimization
2025-10-30 16:37:21 | INFO     | no-corre | etl.database         | Read brands.csv: (9, 2) shape, 0.00MB memory, 0 categorical columns
2025-10-30 16:37:21 | INFO     | no-corre | etl.database         | Validating DataFrame for table 'brands': (9, 2)
2025-10-30 16:37:21 | INFO     | no-corre | etl.database         | Validation passed: all 5 rules successful
2025-10-30 16:37:21 | DEBUG    | no-corre | etl.database         | Reading categories.csv with pandas optimization
2025-10-30 16:37:21 | INFO     | no-corre | etl.database         | Read categories.csv: (7, 2) shape, 0.00MB memory, 0 categorical columns
2025-10-30 16:37:21 | INFO     | no-corre | etl.database         | Validating DataFrame for table 'categories': (7, 2)
2025-10-30 16:37:21 | INFO     | no-corre | etl.database         | Validation passed: all 5 rules successful
2025-10-30 16:37:21 | DEBUG    | no-corre | etl.database         | Reading stores.csv with pandas optimization
2025-10-30 16:37:21 | INFO     | no-corre | etl.database         | Read stores.csv: (3, 7) shape, 0.00MB memory, 0 categorical columns
2025-10-30 16:37:21 | INFO     | no-corre | etl.database         | Validating DataFrame for table 'stores': (3, 7)
2025-10-30 16:37:21 | INFO     | no-corre | etl.database         | Validation passed: all 15 rules successful
